driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
increment_data,11058.999181747437,11059.813350915909,bigbrain_770_0_6255.nii,133877
save_incremented,11067.907773017883,11182.102499008179,bigbrain_770_0_6255.nii,133877
load_img,7921.053265810013,7921.525039434433,bigbrain_2310_3020_2780.nii,133847
increment_data,7984.139976024628,7991.24786400795,bigbrain_2310_3020_2780.nii,133847
save_incremented,8003.528838157654,8084.359477519989,bigbrain_2310_3020_2780.nii,133847
load_img,3002.937803506851,3003.3172771930695,bigbrain_6930_0_2780.nii,133835
increment_data,3047.5881724357605,3048.5156207084656,bigbrain_6930_0_2780.nii,133835
save_incremented,3048.5190196037292,3149.7760677337646,bigbrain_6930_0_2780.nii,133835
load_img,7992.497306346893,7993.202070474625,bigbrain_6930_4832_2780.nii,133829
increment_data,8003.6387577056885,8005.508081912994,bigbrain_6930_4832_2780.nii,133829
save_incremented,8009.21591424942,8114.796448707581,bigbrain_6930_4832_2780.nii,133829
load_img,2708.791255235672,2709.2378463745117,bigbrain_3850_5436_1390.nii,133877
increment_data,2744.579984664917,2756.246616601944,bigbrain_3850_5436_1390.nii,133877
save_incremented,2775.222353696823,2846.419498682022,bigbrain_3850_5436_1390.nii,133877
load_img,4936.7701325416565,4937.193758010864,bigbrain_3850_2416_2085.nii,133829
increment_data,4949.838352680206,4950.65726852417,bigbrain_3850_2416_2085.nii,133829
save_incremented,4961.432438611984,5076.9699375629425,bigbrain_3850_2416_2085.nii,133829
load_img,2982.803603887558,2983.1825733184814,bigbrain_1540_3020_6255.nii,133844
increment_data,3027.775127887726,3034.7523005008698,bigbrain_1540_3020_6255.nii,133844
save_incremented,3047.5939712524414,3147.806644678116,bigbrain_1540_3020_6255.nii,133844
load_img,2708.8306770324707,2709.2413687705994,bigbrain_4620_2416_1390.nii,133811
increment_data,2735.0882675647736,2742.1575696468353,bigbrain_4620_2416_1390.nii,133811
save_incremented,2775.221211910248,2856.691563844681,bigbrain_4620_2416_1390.nii,133811
load_img,678.1902463436127,678.5827720165253,bigbrain_5390_2416_2085.nii,133880
increment_data,718.333722114563,719.5801386833191,bigbrain_5390_2416_2085.nii,133880
save_incremented,719.5834255218506,805.8157298564911,bigbrain_5390_2416_2085.nii,133880
load_img,998.0574727058411,998.5100178718567,bigbrain_6160_604_1390.nii,133847
increment_data,1045.785854101181,1049.9923450946808,bigbrain_6160_604_1390.nii,133847
save_incremented,1055.1969065666199,1112.5763154029846,bigbrain_6160_604_1390.nii,133847
load_img,4405.40020442009,4405.881753444672,bigbrain_3850_1812_3475.nii,133823
increment_data,4410.953625917435,4411.781853437424,bigbrain_3850_1812_3475.nii,133823
save_incremented,4418.553457260132,4506.7774884700775,bigbrain_3850_1812_3475.nii,133823
load_img,6038.9062695503235,6039.572539567947,bigbrain_3080_5436_1390.nii,133874
increment_data,6045.4691157341,6047.201571941376,bigbrain_3080_5436_1390.nii,133874
save_incremented,6049.705847024918,6153.597247362137,bigbrain_3080_5436_1390.nii,133874
load_img,5741.811286211014,5742.856691598892,bigbrain_3080_2416_0.nii,133862
increment_data,5764.688609838486,5767.2182466983795,bigbrain_3080_2416_0.nii,133862
save_incremented,5795.03572177887,5896.610978126526,bigbrain_3080_2416_0.nii,133862
load_img,7757.654190778732,7758.228694677353,bigbrain_1540_0_5560.nii,133838
increment_data,7812.275076150894,7816.905183792114,bigbrain_1540_0_5560.nii,133838
save_incremented,7823.54144692421,7878.895498991013,bigbrain_1540_0_5560.nii,133838
load_img,6881.585932731628,6882.185246229172,bigbrain_3850_2416_1390.nii,133832
increment_data,6908.579983949661,6913.806638717651,bigbrain_3850_2416_1390.nii,133832
save_incremented,6928.63276720047,7014.787622928619,bigbrain_3850_2416_1390.nii,133832
load_img,5177.8614275455475,5178.249562501907,bigbrain_3080_604_6255.nii,133877
increment_data,5217.249440193176,5219.809937238693,bigbrain_3080_604_6255.nii,133877
save_incremented,5221.205714702606,5281.430552959442,bigbrain_3080_604_6255.nii,133877
load_img,7712.445229768753,7713.596770524979,bigbrain_1540_1208_3475.nii,133811
increment_data,7720.82821726799,7726.685069322586,bigbrain_1540_1208_3475.nii,133811
save_incremented,7731.165510892868,7847.064111709595,bigbrain_1540_1208_3475.nii,133811
load_img,2165.828064918518,2166.210572242737,bigbrain_0_5436_3475.nii,133835
increment_data,2229.2941937446594,2231.950479030609,bigbrain_0_5436_3475.nii,133835
save_incremented,2237.2707374095917,2279.3919954299927,bigbrain_0_5436_3475.nii,133835
load_img,6040.9434542655945,6041.524132966995,bigbrain_1540_3020_4865.nii,133859
increment_data,6045.491289615631,6047.219908952713,bigbrain_1540_3020_4865.nii,133859
save_incremented,6057.540613889694,6196.6640729904175,bigbrain_1540_3020_4865.nii,133859
load_img,9124.381470918655,9125.007134914398,bigbrain_4620_604_1390.nii,133817
increment_data,9158.732162714005,9161.036210775375,bigbrain_4620_604_1390.nii,133817
save_incremented,9175.758211374283,9287.362625360489,bigbrain_4620_604_1390.nii,133817
load_img,10034.422322511673,10034.813486814499,bigbrain_2310_5436_3475.nii,133853
increment_data,10073.710008621216,10074.982988834381,bigbrain_2310_5436_3475.nii,133853
save_incremented,10077.17547416687,10173.520847558975,bigbrain_2310_5436_3475.nii,133853
load_img,5976.66163277626,5977.505891799927,bigbrain_2310_1812_6255.nii,133838
increment_data,6034.535866260529,6038.204718828201,bigbrain_2310_1812_6255.nii,133838
save_incremented,6045.219118118286,6125.387750864029,bigbrain_2310_1812_6255.nii,133838
load_img,7688.70242023468,7689.575220346451,bigbrain_6930_0_4865.nii,133859
increment_data,7711.345642566681,7713.130689620972,bigbrain_6930_0_4865.nii,133859
save_incremented,7736.433438777924,7847.5853452682495,bigbrain_6930_0_4865.nii,133859
load_img,6319.406018257141,6320.6266877651215,bigbrain_2310_4228_2780.nii,133813
increment_data,6336.86406993866,6342.562875032425,bigbrain_2310_4228_2780.nii,133813
save_incremented,6371.631268024445,6470.605878353119,bigbrain_2310_4228_2780.nii,133813
load_img,8861.330208063126,8862.072321176529,bigbrain_1540_3624_2780.nii,133847
increment_data,8867.031901836395,8869.610762834549,bigbrain_1540_3624_2780.nii,133847
save_incremented,8874.648025989532,8937.591535329819,bigbrain_1540_3624_2780.nii,133847
load_img,5753.870836257935,5754.457929134369,bigbrain_3080_1812_695.nii,133835
increment_data,5764.768381118774,5767.071672439575,bigbrain_3080_1812_695.nii,133835
save_incremented,5788.951549530029,5889.110862970352,bigbrain_3080_1812_695.nii,133835
load_img,7155.202096223831,7156.294900178909,bigbrain_6930_1812_1390.nii,133811
increment_data,7180.5337545871735,7186.671770334244,bigbrain_6930_1812_1390.nii,133811
save_incremented,7224.347337007523,7295.993772983551,bigbrain_6930_1812_1390.nii,133811
load_img,7911.812900304794,7912.1967606544495,bigbrain_4620_4228_3475.nii,133841
increment_data,7960.797121047974,7965.592877864838,bigbrain_4620_4228_3475.nii,133841
save_incremented,8003.506428480148,8089.62281703949,bigbrain_4620_4228_3475.nii,133841
load_img,8790.991544008255,8791.379212379456,bigbrain_0_3020_2085.nii,133841
increment_data,8866.879342079163,8868.24513411522,bigbrain_0_3020_2085.nii,133841
save_incremented,8870.476290225983,8924.801488637924,bigbrain_0_3020_2085.nii,133841
load_img,10397.96526837349,10398.580554485321,bigbrain_770_1208_6255.nii,133865
increment_data,10432.533764600754,10437.136065244675,bigbrain_770_1208_6255.nii,133865
save_incremented,10446.127099990845,10546.277580976486,bigbrain_770_1208_6255.nii,133865
load_img,7155.555084228516,7156.312038660049,bigbrain_0_2416_4865.nii,133829
increment_data,7189.370547533035,7194.39905333519,bigbrain_0_2416_4865.nii,133829
save_incremented,7225.128044128418,7297.342132568359,bigbrain_0_2416_4865.nii,133829
load_img,9732.765594959259,9733.307215690613,bigbrain_3850_5436_0.nii,133877
increment_data,9752.09281206131,9753.057822227478,bigbrain_3850_5436_0.nii,133877
save_incremented,9753.061143159866,9841.229004144669,bigbrain_3850_5436_0.nii,133877
load_img,7155.113525629044,7156.301130533218,bigbrain_2310_4832_3475.nii,133817
increment_data,7178.074044942856,7185.728362083435,bigbrain_2310_4832_3475.nii,133817
save_incremented,7219.8868589401245,7294.523464918137,bigbrain_2310_4832_3475.nii,133817
load_img,9363.18087220192,9363.573391914368,bigbrain_2310_1812_0.nii,133859
